2285	2744	876
443	4339	874
1121	5439	870
1108	5057	870
1799	2847	866
1406	2880	864
78	1067	858
2721	5369	854
3395	4665	852
3037	5734	846
2312	5029	844
2214	4950	842
3835	4673	840
2023	5487	834
37	1253	834
536	5057	832
480	1067	826
38	655	826
4666	4901	824
1399	2990	824
3691	4624	822
1314	2441	814
3162	5134	810
226	248	806
860	5094	802
2533	4432	800
2727	4962	794
4941	5402	792
3691	4673	790
3930	4148	788
2204	4090	786
3072	4293	784
817	2441	784
443	2575	782
4487	5653	780
3790	4496	778
832	2462	776
493	4246	774
4779	5423	772
4624	4859	772
420	1827	764
4056	4197	760
679	5546	760
3257	5114	758
832	3561	756
420	2863	754
3874	5057	752
2689	3106	752
536	3691	752
3599	4487	746
45	3599	746
4673	4859	738
1042	2334	738
757	5380	736
538	5487	736
4622	4922	734
4443	4886	734
1055	2254	732
476	3514	730
19	3696	730
1050	2516	728
376	518	728
45	1677	728
679	4755	724
1677	1992	722
4624	5731	720
3582	5057	720
5057	5110	718
431	655	718
2420	4962	714
37	5548	714
1406	3878	712
3257	3929	710
1045	2576	708
679	5449	708
35	655	708
2539	3948	706
2276	5773	706
1679	4181	702
2420	3299	700
4388	4624	698
2512	3748	698
298	2731	698
4495	5439	694
2539	5537	694
1045	2202	694
4673	5731	692
2252	3582	692
641	5548	692
387	1143	686
2738	4725	684
1455	2598	684
556	4491	684
2163	2568	678
1207	2441	678
679	3345	678
2254	3127	676
3257	3931	674
2254	3448	674
2287	3696	672
424	4246	668
850	3390	666
1944	4246	664
1208	2254	664
82	679	664
1571	5487	662
2785	5459	660
650	2592	660
2192	5022	656
3611	4665	654
5057	5459	652
1890	4443	652
1677	4334	652
3460	4537	646
2940	5731	646
2822	3257	646
1253	3272	646
4388	4673	644
907	4662	644
776	3691	644
740	2981	644
429	3162	644
2991	4169	642
582	4867	642
325	4049	642
2106	4496	640
2073	2666	640
992	4246	640
420	3428	640
3582	3661	638
989	3257	638
817	1314	638
4156	4491	636
482	5487	636
420	1358	634
2104	4673	628
2400	5511	626
2104	4624	626
57	5487	626
1921	5548	624
1108	4624	624
2420	5362	622
2516	2533	618
2397	5487	618
729	5487	618
2221	5487	616
2339	2785	614
641	1921	614
2640	2880	612
2334	4962	610
1080	2516	610
2339	5057	608
2045	4574	608
655	982	608
1677	2109	606
1253	2575	606
1446	5546	598
655	1225	598
865	1364	596
655	4704	594
3507	5487	592
2163	5205	592
1108	4673	592
908	4181	592
5006	5537	590
4002	4678	590
655	4330	590
655	1296	590
536	4624	590
38	832	588
3691	3835	586
1661	1677	586
536	4673	586
2785	5546	584
2114	5636	584
2312	3272	582
1570	1928	582
700	4090	580
2940	5057	576
2384	2936	576
112	2413	576
569	1677	572
3497	5653	570
1491	4165	570
3916	4344	566
2441	2471	566
3582	3874	564
153	2413	564
3272	5548	562
650	5447	562
3610	4565	560
757	4938	560
454	3044	560
2634	4290	558
3141	4718	556
387	1561	556
1207	1314	554
1865	5487	552
1150	3930	552
757	1797	552
1023	2801	550
817	1207	550
267	2806	550
51	5487	548
1253	1921	546
351	2856	546
3386	5487	544
2539	4300	544
1466	2950	544
3835	4859	542
2275	3390	542
1406	4137	540
443	1253	540
442	5653	540
1135	3691	538
144	4491	538
37	45	538
3874	4673	536
879	5439	536
543	5013	536
414	3930	536
830	976	534
3874	4624	532
3582	5731	528
2276	2502	528
2163	4118	528
1446	5057	528
2480	2940	526
2163	2288	526
1709	4922	526
1194	4432	526
453	1286	526
3691	5269	524
955	3209	524
666	3209	524
1045	2887	522
2721	3374	520
695	1667	520
431	832	520
64	4443	520
42	420	520
4630	4886	518
4487	5029	518
3390	5334	518
1190	3681	518
5163	5439	516
4859	5731	516
4306	4922	516
2461	3362	516
3691	4388	514
3484	5690	514
2640	3878	514
2459	3611	514
5057	5626	512
4624	5110	512
3582	4673	512
3582	4624	512
2742	5487	512
420	1952	512
3735	4572	510
2640	2796	510
695	5030	510
4859	5110	508
2413	2988	508
543	5085	508
205	3691	508
3835	5731	506
1598	4186	506
35	832	506
19	5100	506
